car_prices_in_rupee,kms_driven,transmission,ownership,manufacture,Seats,fuel_type_Cng,fuel_type_Diesel,fuel_type_Electric,fuel_type_Lpg,fuel_type_Petrol
10.03,86226,0,1,2017,5,0,1,0,0,0
12.83,13248,1,1,2021,5,0,0,0,0,1
16.4,60343,1,1,2016,5,0,0,0,0,1
7.77,26696,1,1,2018,5,0,0,0,0,1
5.15,69414,0,1,2016,5,0,0,0,0,1
7.66,49719,1,1,2017,5,0,0,0,0,1
7.58,43688,1,1,2017,5,0,0,0,0,1
11.6,14470,0,1,2021,5,0,1,0,0,0
6.99,21429,1,1,2015,5,0,0,0,0,1
7.53,31750,1,1,2017,5,0,0,0,0,1
6.43,38203,0,1,2017,5,0,0,0,0,1
5.43,110284,1,1,2014,5,0,0,0,0,1
8.62,10381,0,1,2020,5,0,0,0,0,1
16.78,32378,1,1,2019,5,0,0,0,0,1
10.03,38906,0,1,2020,5,0,0,0,0,1
5.63,59313,1,2,2016,5,0,0,0,0,1
6.67,85672,0,1,2017,5,0,1,0,0,0
6.73,34971,0,2,2017,5,0,0,0,0,1
3.21,35894,0,2,2015,5,0,0,0,0,1
8.5,56000,1,1,2019,5,0,0,0,0,1
4.34,56568,0,1,2014,5,0,0,0,0,1
3.11,48872,0,1,2017,5,0,0,0,0,1
3.7,17346,0,1,2019,5,0,0,0,0,1
15.88,15414,0,1,2019,5,0,1,0,0,0
5.41,21239,0,1,2018,5,0,0,0,0,1
2.23,62361,0,1,2014,5,0,0,0,0,1
5.88,79329,0,2,2015,5,0,0,0,0,1
22.78,11945,1,1,2021,5,0,0,0,0,1
6.12,51324,0,1,2018,5,0,0,0,0,1
7.44,5717,0,1,2021,5,0,0,0,0,1
8.39,46417,1,1,2016,5,0,0,0,0,1
4.2,100161,0,1,2015,5,0,0,0,0,1
4.91,35424,0,1,2016,5,0,0,0,0,1
2.93,51085,0,1,2017,5,0,0,0,0,1
2.98,30983,0,1,2016,5,0,0,0,0,1
2.6,32681,0,1,2016,5,0,0,0,0,1
2.38,57581,0,2,2014,5,0,0,0,0,1
6.05,39821,1,1,2016,5,0,0,0,0,1
3.23,21186,0,1,2018,5,0,0,0,0,1
3.26,34972,0,1,2018,5,0,0,0,0,1
4.21,46623,0,2,2015,5,0,0,0,0,1
15.53,18557,0,1,2019,5,0,0,0,0,1
12.43,58463,0,1,2017,5,0,1,0,0,0
18.5,5000,1,1,2020,6,0,0,0,0,1
15.9,66000,0,1,2019,5,0,1,0,0,0
8.9,14000,1,1,2019,5,0,0,0,0,1
6,65392,0,1,2017,5,0,1,0,0,0
27,37000,1,1,2018,5,0,0,0,0,1
10.9,9000,0,1,2020,6,0,0,0,0,1
5.9,32000,1,1,2017,5,0,0,0,0,1
6.5,68000,0,1,2012,7,0,1,0,0,0
6.75,13000,0,1,2017,5,0,0,0,0,1
3.7,30000,1,1,2020,5,0,0,0,0,1
5.25,34300,1,1,2015,5,0,0,0,0,1
7.25,45000,1,1,2015,5,0,0,0,0,1
8.5,37000,0,1,2014,5,0,0,0,0,1
14,50000,0,1,2018,5,0,0,0,0,1
15,105241,1,1,2015,5,0,1,0,0,0
13.9,54000,0,1,2019,5,0,0,0,0,1
8.9,19600,0,1,2019,5,0,0,0,0,1
16.9,48000,1,1,2015,5,0,1,0,0,0
13.9,69500,1,1,2012,5,0,1,0,0,0
15,71000,1,2,2012,5,0,1,0,0,0
1.53,46257,0,3,2008,5,0,0,0,0,1
5.09,78264,0,2,2015,5,0,1,0,0,0
5.46,42451,1,1,2016,5,0,0,0,0,1
2.73,131861,0,2,2012,5,0,1,0,0,0
1.8,128004,0,2,2012,5,0,0,0,0,1
1.1,150349,0,1,2012,5,0,1,0,0,0
3.69,29033,0,1,2017,5,0,0,0,0,1
13.5,99000,1,1,2015,5,0,1,0,0,0
2.75,47000,0,1,2018,5,0,0,0,0,1
5.5,35000,0,1,2018,5,0,1,0,0,0
9.75,58000,1,1,2013,5,0,1,0,0,0
4,48000,0,1,2012,5,0,0,0,0,1
4.75,45000,1,1,2014,5,0,0,0,0,1
1.9,60000,0,2,2012,5,0,0,0,0,1
4.65,23000,0,1,2014,5,0,0,0,0,1
4.6,45000,0,1,2019,5,0,0,0,0,1
3.25,45000,0,1,2014,5,0,0,0,0,1
5.25,58000,0,1,2013,7,0,1,0,0,0
6.25,48000,0,1,2018,5,0,0,0,0,1
16.75,16000,1,1,2022,5,0,0,0,0,1
10,24000,0,1,2019,5,0,0,0,0,1
17.9,36000,0,1,2021,7,0,1,0,0,0
13.9,35000,1,2,2019,5,0,0,0,0,1
6.1,64000,0,1,2019,5,0,0,0,0,1
7.75,72000,0,1,2017,5,0,1,0,0,0
4.6,29900,0,1,2015,5,0,0,0,0,1
20.91,20000,1,1,2022,5,0,1,0,0,0
3.1,160000,0,1,2013,5,0,1,0,0,0
5.65,16000,0,1,2020,5,0,0,0,0,1
9,17000,0,1,2019,5,0,0,0,0,1
28.5,38000,1,2,2015,5,0,1,0,0,0
5.5,32000,0,1,2015,5,0,1,0,0,0
4.5,67000,0,1,2015,5,0,0,0,0,1
6.75,50000,1,1,2016,5,0,0,0,0,1
1.8,110000,0,2,2010,5,0,1,0,0,0
7.75,51000,1,1,2017,5,0,0,0,0,1
5.5,83000,0,1,2017,5,0,1,0,0,0
24,38000,1,1,2016,5,0,1,0,0,0
13.25,58000,1,1,2018,5,0,1,0,0,0
11,36000,0,1,2018,5,0,0,0,0,1
10.5,23500,1,1,2020,5,0,0,0,0,1
6.5,60000,0,1,2017,5,0,0,0,0,1
25,18000,1,1,2018,5,0,0,0,0,1
6,36500,0,1,2017,5,0,0,0,0,1
15.75,20500,1,1,2020,5,0,0,0,0,1
4.5,30000,0,1,2015,5,0,0,0,0,1
5.9,59000,0,1,2017,5,0,0,0,0,1
14.5,80000,1,1,2014,5,0,1,0,0,0
3.8,50000,0,2,2017,5,0,1,0,0,0
21,32000,1,1,2021,5,0,1,0,0,0
2.61,120000,0,2,2012,5,0,0,0,0,1
1.1,33000,1,1,2021,7,0,0,0,0,1
22.5,4500,1,1,2022,5,0,1,0,0,0
19.75,12000,1,1,2022,5,0,1,0,0,0
9.5,37000,0,1,2018,5,0,1,0,0,0
14.51,35000,0,1,2021,5,0,1,0,0,0
3,80000,0,2,2016,5,0,0,0,0,1
4.6,60000,0,1,2016,5,0,0,0,0,1
9.15,10000,1,1,2022,5,0,0,0,0,1
5.5,59385,1,1,2019,5,0,0,0,0,1
17,51000,1,2,2012,5,0,1,0,0,0
9.9,74000,1,1,2017,7,0,1,0,0,0
8.51,29000,1,1,2020,5,0,0,0,0,1
27.5,12200,1,1,2021,5,0,1,0,0,0
5.5,40000,1,3,2019,5,0,0,0,0,1
9.51,58000,0,1,2018,5,0,1,0,0,0
19.9,75000,1,2,2019,7,0,1,0,0,0
5.5,23400,0,1,2017,5,0,0,0,0,1
3.9,59300,0,1,2017,5,0,0,0,0,1
8.9,72000,0,1,2016,5,0,1,0,0,0
4.51,67000,0,1,2017,5,0,1,0,0,0
7.25,33500,1,1,2018,5,0,0,0,0,1
12.75,17000,0,2,2021,5,0,0,0,0,1
6.9,33000,1,1,2016,5,0,1,0,0,0
6.75,49000,1,1,2015,5,0,0,0,0,1
5.65,26000,1,1,2015,5,0,0,0,0,1
10,14500,0,1,2020,5,0,0,0,0,1
19.75,10000,1,1,2022,5,0,1,0,0,0
17,15001,1,1,2020,6,0,0,0,0,1
9.75,55000,1,2,2015,5,0,0,0,0,1
6.5,38000,0,1,2013,5,0,0,0,0,1
4,110000,0,2,2005,7,0,1,0,0,0
4.75,65413,1,1,2013,5,0,0,0,0,1
2.8,45000,0,2,2009,5,0,0,0,0,1
4.3,44000,0,1,2017,5,0,0,0,0,1
4.9,40000,0,1,2017,5,0,0,0,0,1
6.51,49000,1,1,2016,5,0,0,0,0,1
17.51,19000,1,1,2022,4,0,1,0,0,0
3.91,56000,0,2,2013,5,0,1,0,0,0
3.75,65000,0,2,2010,5,0,0,0,0,1
4.9,27680,0,1,2013,5,0,0,0,0,1
18.25,27305,1,1,2021,5,0,1,0,0,0
14.99,44000,1,1,2019,5,0,0,0,0,1
11.99,63000,0,1,2020,5,0,0,0,0,1
6.5,87000,0,1,2019,5,0,1,0,0,0
1.9,61000,0,1,2010,5,0,0,0,0,1
6.25,72000,0,1,2016,5,0,1,0,0,0
16.51,70000,1,1,2015,5,0,1,0,0,0
2.25,58000,0,2,2012,5,0,1,0,0,0
1.3,90000,0,3,2009,5,0,0,0,0,1
12.5,19000,0,1,2022,5,0,0,0,0,1
9.25,72159,1,1,2014,5,0,0,0,0,1
5.9,78000,0,1,2015,5,0,1,0,0,0
6.9,58000,0,1,2018,5,0,1,0,0,0
8.9,72000,0,1,2018,5,0,1,0,0,0
2.9,73000,0,1,2012,5,0,1,0,0,0
8.9,28840,0,1,2016,5,0,0,0,0,1
6.9,51500,1,1,2019,5,0,0,0,0,1
4.8,41370,1,1,2020,5,0,0,0,0,1
8.75,41266,0,1,2016,5,0,0,0,0,1
9.9,31740,1,1,2018,5,0,0,0,0,1
6.15,77876,0,1,2015,5,0,0,0,0,1
20.5,9500,0,1,2022,5,0,0,0,0,1
6.25,28387,1,1,2019,5,0,0,0,0,1
27,120000,1,2,2015,5,0,1,0,0,0
4.5,20000,0,2,2017,5,0,0,0,0,1
1,120000,0,2,2013,5,0,1,0,0,0
6,184000,0,2,2018,7,0,1,0,0,0
4,40000,1,1,2009,5,0,0,0,0,1
6.25,55000,0,1,2015,5,0,1,0,0,0
5.75,38000,0,1,2019,5,0,0,0,0,1
23.5,40000,1,1,2017,5,0,0,0,0,1
1.35,60000,0,2,2006,5,0,0,0,0,1
3,110000,0,3,2009,7,0,1,0,0,0
2.1,143000,0,2,2011,5,0,1,0,0,0
1.25,110000,0,3,2012,5,0,1,0,0,0
4.75,58000,0,1,2017,6,0,1,0,0,0
5.5,65000,0,2,2014,5,0,0,0,0,1
17,50000,0,1,2021,5,0,1,0,0,0
3.49,55000,0,1,2015,5,0,0,0,0,1
9.25,78000,1,2,2016,7,0,1,0,0,0
3.9,58000,0,1,2010,5,0,0,0,0,1
10.25,91000,0,1,2017,7,0,1,0,0,0
11.25,30000,1,1,2016,7,0,1,0,0,0
7.25,44153,0,1,2018,5,0,0,0,0,1
14,19000,0,1,2020,5,0,0,0,0,1
19.5,27300,1,1,2021,6,0,1,0,0,0
3.1,50000,0,1,2017,5,0,0,0,0,1
1.3,77000,0,2,2005,5,0,0,0,0,1
6.5,53000,1,1,2018,5,0,0,0,0,1
2.75,20000,0,1,2017,5,0,0,0,0,1
3.5,72000,0,1,2013,5,0,0,0,0,1
8.9,26000,0,1,2016,5,0,0,0,0,1
4.25,66000,0,1,2015,5,0,1,0,0,0
22,69619,1,1,2014,5,0,1,0,0,0
4.3,30000,1,1,2018,5,0,0,0,0,1
2.11,61000,0,1,2009,5,0,0,0,0,1
9.75,31000,1,1,2018,5,0,1,0,0,0
6.25,66000,1,1,2015,5,0,0,0,0,1
17.5,9000,1,1,2022,5,0,0,0,0,1
3.4,60000,0,2,2017,5,0,0,0,0,1
